neighborhood,price,layout,bathrooms,square_footage
Flushing,1700.00,Studio,1 Bathroom,650
Downtown Brooklyn,3080.00,1 Bedroom,1 Bathroom,618
Long Island City,3050.00,1 Bedroom,1 Bathroom,700
East Village,4200.00,1 Bedroom,1.5 Bathroom,707
Crown Heights,2850.00,1 Bedroom,1 Bathroom,668
Midtown East,3300.00,2 Bedroom,1 Bathroom,594
Flushing,1575.00,Studio,1 Bathroom,496
South Williamsburg,3150.00,1 Bedroom,1 Bathroom,740
Flatiron,6995.00,2 Bedroom,2 Bathroom,1308
Clinton Hill,5250.00,3 Bedroom w/ HO,2 Bathroom,1350
Chelsea,4960.00,1 Bedroom,1 Bathroom,674
Upper East Side,5500.00,2 Bedroom,1 Bathroom,1000
Long Island City,2500.00,1 Bedroom,1 Bathroom,643
Astoria,2700.00,1 Bedroom,1 Bathroom,680
Bushwick,2700.00,2 Bedroom,1 Bathroom,837
Murray Hill,3500.00,1 Bedroom,1 Bathroom,700
Midtown East,3800.00,1 Bedroom,1 Bathroom,729
Midtown West,4200.00,1 Bedroom,1 Bathroom,820
East Village,3300.00,Studio,1 Bathroom,315
Crown Heights,1938.00,2 Bedroom,1 Bathroom,831
East Village,4495.00,2 Bedroom,1 Bathroom,1000
Sunnyside,2375.00,1 Bedroom,1 Bathroom,850
Upper West Side,3695.00,1 Bedroom,1 Bathroom,727
Roosevelt Island,4000.00,2 Bedroom,2 Bathroom,930
Midtown,20000.00,2 Bedroom,2 Bathroom,2009
Harlem,1700.00,1 Bedroom,1 Bathroom,600
Lower East Side,5150.00,4 Bedroom,2 Bathroom,1300
Murray Hill,5850.00,2 Bedroom,2 Bathroom,1039
Upper East Side,4150.00,3 Bedroom,2 Bathroom,1000
Harlem,2350.00,3 Bedroom,1 Bathroom,900
East Harlem,1795.00,Studio,1 Bathroom,500
Astoria,2400.00,2 Bedroom,2 Bathroom,900
Bedford-Stuyvesant,2400.00,2 Bedroom,2 Bathroom,950
Windsor Terrace,3200.00,2 Bedroom,2 Bathroom,1250
Upper West Side,4650.00,2 Bedroom,2 Bathroom,917
Upper East Side,4200.00,Jr 4,1 Bathroom,900
Harlem,4300.00,2 Bedroom,2 Bathroom,1400
Financial District,5500.00,4 Bedroom,2 Bathroom,1100
Midtown East,2550.00,1 Bedroom,1 Bathroom,550
Upper East Side,3853.00,1 Bedroom,1 Bathroom,846
Williamsburg,5775.00,3 Bedroom,1 Bathroom,1226
Downtown Brooklyn,2492.00,Studio,1 Bathroom,493
Woodhaven,1750.00,1 Bedroom,1 Bathroom,700
Murray Hill,5155.00,2 Bedroom,2 Bathroom,1041
Harlem,2300.00,1 Bedroom,1 Bathroom,781
Flushing,2300.00,2 Bedroom,1 Bathroom,1100
Williamsburg,3900.00,4 Bedroom,1 Bathroom,975
Upper East Side,3449.00,1 Bedroom,1 Bathroom,572
Upper East Side,7000.00,2 Bedroom,2 Bathroom,1400
Williamsburg,2850.00,Alcove Studio,1 Bathroom,500
Bushwick,2246.00,2 Bedroom,1 Bathroom,900
Prospect Heights,3500.00,1 Bedroom,1 Bathroom,900
Chelsea,4730.76,1 Bedroom,1 Bathroom,623
Upper East Side,3990.00,1 Bedroom,1 Bathroom,790
Union Square,7995.00,3 Bedroom,2 Bathroom,1482
Upper East Side,6200.00,2 Bedroom,2 Bathroom,1308
Murray Hill,4285.00,Flex 3,1.5 Bathroom,965
Long Island City,3500.00,1 Bedroom,1 Bathroom,585
Murray Hill,3716.00,Flex 2,1 Bathroom,636
Brooklyn Heights,3275.00,1 Bedroom,1 Bathroom,836
Upper West Side,7995.00,3 Bedroom,2 Bathroom,1448
Brooklyn Heights,5000.00,2 Bedroom,2 Bathroom,1227
Williamsburg,4750.00,2 Bedroom,1 Bathroom,1170
Forest Hills,1971.00,1 Bedroom,1 Bathroom,850
Chelsea,4115.00,Studio,1 Bathroom,510
Williamsburg,2743.00,1 Bedroom,1 Bathroom,725
Midtown,3850.00,1 Bedroom,1 Bathroom,729
Georgetown,1195.00,1 Bedroom,1 Bathroom,600
Ditmas Park,2950.00,3 Bedroom,2 Bathroom,1202
Williamsburg,3135.00,1 Bedroom,1 Bathroom,600
Financial District,3200.00,1 Bedroom,1 Bathroom,756
Upper West Side,9997.00,3 Bedroom,3 Bathroom,1885
Financial District,2764.00,Studio,1 Bathroom,630
Astoria,2575.00,1 Bedroom,1 Bathroom,625
Upper East Side,11600.00,3 Bedroom,3 Bathroom,1650
Vinegar Hill,4000.00,2 Bedroom,1 Bathroom,929
Greenpoint,3800.00,2 Bedroom,1 Bathroom,937
Upper West Side,2500.00,1 Bedroom,1 Bathroom,600
Midtown,3400.00,2 Bedroom,1 Bathroom,1
DUMBO,3200.00,1 Bedroom,1 Bathroom,753
Murray Hill,5550.00,2 Bedroom,1 Bathroom,921
Battery Park City,3050.00,1 Bedroom,1 Bathroom,632
Cobble Hill,3900.00,3 Bedroom,2 Bathroom,1200
Bushwick,2900.00,Flex 2,1 Bathroom,1100
Long Island City,3895.00,2 Bedroom,2 Bathroom,1023
Financial District,3720.00,Studio,1 Bathroom,818
Harlem,2375.00,1 Bedroom,1 Bathroom,642
Murray Hill,3350.00,Flex 2,1 Bathroom,567
Midtown West,2800.00,2 Bedroom,1 Bathroom,500
Downtown Brooklyn,4053.00,2 Bedroom,2 Bathroom,845
Clinton Hill,3461.00,3 Bedroom,2 Bathroom,1010
Battery Park City,3369.00,1 Bedroom,1 Bathroom,698
Midtown West,3200.00,2 Bedroom,1 Bathroom,900
Williamsburg,3205.00,Studio,1 Bathroom,581
Murray Hill,7250.00,3 Bedroom,2 Bathroom,1217
Chelsea,5005.00,1 Bedroom,1 Bathroom,674
Bedford-Stuyvesant,2700.00,2 Bedroom,1 Bathroom,800
Midtown West,3277.00,Studio,1 Bathroom,651
Upper West Side,2400.00,2 Bedroom,1 Bathroom,800
Downtown Brooklyn,4093.00,2 Bedroom,2 Bathroom,845
Vinegar Hill,2177.00,Studio,1 Bathroom,479
Long Island City,3150.00,1 Bedroom,1 Bathroom,608
Murray Hill,4200.00,1 Bedroom,1 Bathroom,780
Chelsea,5075.00,1 Bedroom,1 Bathroom,616
Midtown West,3785.00,1 Bedroom,1 Bathroom,0
Flatbush,1558.00,Studio,1 Bathroom,400
Fort Greene,3362.00,1 Bedroom,1 Bathroom,574
Lower East Side,3621.00,Studio,2 Bathroom,1201
Upper West Side,5850.00,2 Bedroom,2 Bathroom,1500
Greenpoint,3100.00,1 Bedroom,1 Bathroom,746
Long Island City,3620.00,2 Bedroom,2 Bathroom,932
Chelsea,4200.00,1 Bedroom,1 Bathroom,769
Gramercy,3600.00,1 Bedroom,1 Bathroom,805
Crown Heights,2675.00,1 Bedroom,1 Bathroom,668
Midtown,3300.00,1 Bedroom,1 Bathroom,650
Murray Hill,3282.00,Jr 1 Bedroom,1 Bathroom,521
Midtown,3800.00,1 Bedroom,1 Bathroom,600
East Village,3350.00,1 Bedroom,1 Bathroom,900
Upper West Side,3400.00,Studio,1 Bathroom,670
Park Slope,2700.00,2 Bedroom,1 Bathroom,600
Upper East Side,3235.00,1 Bedroom,1 Bathroom,675
Clinton Hill,2745.00,2 Bedroom,1 Bathroom,765
Upper West Side,7150.00,2 Bedroom,2 Bathroom,1384
Chelsea,4124.00,1 Bedroom,1 Bathroom,532
Jackson Heights,1675.00,1 Bedroom,1 Bathroom,650
Upper West Side,2700.00,1 Bedroom,1 Bathroom,650
Long Island City,2658.00,1 Bedroom,1 Bathroom,585
Boerum Hill,3050.00,1 Bedroom,1 Bathroom,625
South Williamsburg,3600.00,1 Bedroom,1 Bathroom,765
West Village,3350.00,Studio,1 Bathroom,545
Long Island City,4010.00,1 Bedroom,1 Bathroom,825
Greenpoint,5532.00,3 Bedroom,2 Bathroom,1267
Greenwich Village,3695.00,1 Bedroom,1 Bathroom,525
East Village,2500.00,1 Bedroom,1 Bathroom,538
Williamsburg,3125.00,1 Bedroom,1 Bathroom,634
Clinton Hill,3200.00,2 Bedroom,2 Bathroom,910
Kensington,2800.00,Studio,1 Bathroom,980
Harlem,6250.00,4 Bedroom,2.5 Bathroom,2150
Murray Hill,4680.00,Jr 4,1.5 Bathroom,907
Midtown,4995.00,2 Bedroom,2 Bathroom,955
Midtown,4150.00,2 Bedroom,1 Bathroom,1000
Astoria,2800.00,2 Bedroom,1 Bathroom,700
Financial District,2770.00,Studio,1 Bathroom,431
Midtown,7900.00,1 Bedroom,1 Bathroom,1160
Upper East Side,2750.00,1 Bedroom,1 Bathroom,700
Rego Park,3050.00,3 Bedroom,2 Bathroom,1700
Long Island City,2622.00,2 Bedroom,1 Bathroom,819
Hudson Yards,2560.00,Studio,1 Bathroom,400
Crown Heights,3000.00,3 Bedroom,2 Bathroom,1600
Harlem,1782.00,Studio,1 Bathroom,472
Chelsea,3477.00,Studio,1 Bathroom,410
Upper East Side,4250.00,1 Bedroom,2 Bathroom,815
Bedford-Stuyvesant,2200.00,3 Bedroom,2 Bathroom,1100
Flatbush,2310.00,2 Bedroom,1 Bathroom,870
Murray Hill,5234.00,Flex 3,2 Bathroom,1018
Astoria,3005.00,1 Bedroom,1 Bathroom,667
Williamsburg,3077.00,1 Bedroom,1 Bathroom,661
Downtown Brooklyn,3150.00,1 Bedroom,1 Bathroom,648
Gramercy,3900.00,1 Bedroom,1 Bathroom,690
Ocean Hill,2500.00,3 Bedroom w/ HO,2 Bathroom,968
East Village,4495.00,3 Bedroom,1 Bathroom,980
Murray Hill,2995.00,Studio,1 Bathroom,437
Midtown East,3010.00,Studio,1 Bathroom,576
East Harlem,2795.00,2 Bedroom,1 Bathroom,852
Cobble Hill,3780.00,3 Bedroom,1.5 Bathroom,950
Riverdale,2900.00,2 Bedroom,2 Bathroom,1300
Clinton Hill,2355.00,1 Bedroom,1 Bathroom,620
Upper East Side,2887.00,1 Bedroom,1 Bathroom,425
Midtown West,3170.00,1 Bedroom,1 Bathroom,619
Midtown,3500.00,1 Bedroom,1 Bathroom,750
Greenpoint,2550.00,1 Bedroom,1 Bathroom,700
Lower East Side,3900.00,3 Bedroom,1 Bathroom,850
Financial District,5750.00,1 Bedroom,1 Bathroom,1087
Harlem,6750.00,4 Bedroom,2.5 Bathroom,1984
Downtown Brooklyn,4111.00,2 Bedroom,2 Bathroom,923
Downtown Brooklyn,6495.00,3 Bedroom,3 Bathroom,1612
Downtown Brooklyn,3111.00,1 Bedroom,1 Bathroom,621
Washington Heights,2600.00,4 Bedroom,1 Bathroom,1000
Flatbush,2275.00,2 Bedroom,1 Bathroom,850
Upper East Side,3150.00,1 Bedroom,2 Bathroom,793
Midtown,6000.00,2 Bedroom,2 Bathroom,1039
Jackson Heights,1850.00,1 Bedroom,1 Bathroom,700
Chelsea,18900.00,4 Bedroom,3 Bathroom,2400
Downtown Brooklyn,2841.00,1 Bedroom,1 Bathroom,658
Midtown,5750.00,2 Bedroom,2 Bathroom,1000
Upper West Side,5125.00,Flex 3,1 Bathroom,1250
Greenpoint,2100.00,2 Bedroom,1 Bathroom,725
Upper West Side,6230.00,2 Bedroom,2 Bathroom,1090
Financial District,3746.00,Jr 1 Bedroom,1 Bathroom,910
Upper West Side,7995.00,2 Bedroom,2 Bathroom,1235
Astoria,3500.00,1 Bedroom,1 Bathroom,700
Flatbush,2300.00,1 Bedroom,1 Bathroom,674
Upper East Side,4750.00,Jr 4,1.5 Bathroom,928
Murray Hill,3500.00,1 Bedroom,1 Bathroom,700
NoMad,6528.00,1 Bedroom,1 Bathroom,870
East New York,1700.00,1 Bedroom,1 Bathroom,666
Upper East Side,2920.00,1 Bedroom,1 Bathroom,618
Upper East Side,4550.00,1 Bedroom,1 Bathroom,860
Upper East Side,14000.00,4 Bedroom,3 Bathroom,1757
Midtown West,5200.00,2 Bedroom,2 Bathroom,983
Upper West Side,3690.00,1 Bedroom,1 Bathroom,663
Harlem,2250.00,Jr 4,1 Bathroom,809
Upper West Side,3810.00,1 Bedroom,1 Bathroom,643
Chelsea,4433.00,1 Bedroom,1 Bathroom,590
Rego Park,2250.00,1 Bedroom,1 Bathroom,866
Rego Park,1950.00,1 Bedroom,1 Bathroom,710
Flushing,1850.00,1 Bedroom,1 Bathroom,700
Hudson Yards,2565.00,Studio,1 Bathroom,499
Upper East Side,4200.00,1 Bedroom,1 Bathroom,952
Upper East Side,7425.00,3 Bedroom,3 Bathroom,1511
Downtown Brooklyn,2377.00,Studio,1 Bathroom,435
Williamsburg,4500.00,2 Bedroom,2 Bathroom,892
Chelsea,4511.00,1 Bedroom,1 Bathroom,568
Williamsburg,2781.00,1 Bedroom,1 Bathroom,725
Riverdale,1750.00,Studio,1 Bathroom,475
Murray Hill,4958.00,Jr 4,2 Bathroom,1018
East Village,9500.00,3 Bedroom,3 Bathroom,3000
Hudson Yards,4153.00,1 Bedroom w/ HO,1 Bathroom,906
Williamsburg,3000.00,1 Bedroom,1 Bathroom,900
Bay Ridge,2700.00,3 Bedroom,1.5 Bathroom,1100
Upper East Side,3305.00,1 Bedroom,1 Bathroom,672
Clinton Hill,3700.00,3 Bedroom,2 Bathroom,1500
Forest Hills,1950.00,Studio,1 Bathroom,531
Midtown East,8500.00,2 Bedroom,2.5 Bathroom,1592
Bay Ridge,1649.00,1 Bedroom,1 Bathroom,700
Bushwick,3475.00,4 Bedroom,1 Bathroom,0
Gowanus,4500.00,2 Bedroom,2 Bathroom,958
East Village,6750.00,3 Bedroom,1 Bathroom,1420
Financial District,2685.00,Studio,1 Bathroom,453
Ocean Hill,1925.00,3 Bedroom,1 Bathroom,700
South Williamsburg,4400.00,2 Bedroom,2 Bathroom,1174
Financial District,4295.00,1 Bedroom,2 Bathroom,1000
Chelsea,6500.00,2 Bedroom,2 Bathroom,1265
Downtown Brooklyn,3336.00,Flex 3,2 Bathroom,1000
Murray Hill,5008.00,2 Bedroom,1 Bathroom,921
Williamsburg,4625.00,2 Bedroom,2 Bathroom,1100
